PID,USER,PR,NI,VIRT,RES,SHR,S,%CPU,%MEM,TIME+,COMMAND
6924,swap,20,0,1161.7g,367444,122776,S,27.8,4.5,12:35.38,code
6002,swap,20,0,4985852,303988,130252,S,16.7,3.8,3:09.03,gnome-s+
6471,swap,20,0,336696,118388,80676,S,11.1,1.5,1:54.77,Xwayland
6887,swap,20,0,32.8g,138176,114088,S,11.1,1.7,2:57.66,code
14126,swap,20,0,13352,4224,3328,R,11.1,0.1,0:00.04,top
6845,swap,20,0,1157.9g,200724,129112,S,5.6,2.5,1:35.01,code
1,root,20,0,166848,11188,7988,S,0.0,0.1,0:05.96,systemd
2,root,20,0,0,0,0,S,0.0,0.0,0:00.11,kthreadd
3,root,20,0,0,0,0,S,0.0,0.0,0:00.00,pool_wo+
4,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker+
5,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker+
6,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker+
7,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker+
9,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker+
11,root,20,0,0,0,0,I,0.0,0.0,0:00.89,kworker+
12,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker+
13,root,20,0,0,0,0,I,0.0,0.0,0:00.00,rcu_tas+
14,root,20,0,0,0,0,I,0.0,0.0,0:00.00,rcu_tas+
15,root,20,0,0,0,0,I,0.0,0.0,0:00.00,rcu_tas+
16,root,20,0,0,0,0,S,0.0,0.0,0:00.07,ksoftir+
17,root,20,0,0,0,0,I,0.0,0.0,0:03.24,rcu_pre+
18,root,rt,0,0,0,0,S,0.0,0.0,0:00.06,migrati+
19,root,-51,0,0,0,0,S,0.0,0.0,0:00.00,idle_in+
20,root,20,0,0,0,0,S,0.0,0.0,0:00.00,cpuhp/0
21,root,20,0,0,0,0,S,0.0,0.0,0:00.00,cpuhp/1
22,root,-51,0,0,0,0,S,0.0,0.0,0:00.00,idle_in+
23,root,rt,0,0,0,0,S,0.0,0.0,0:02.05,migrati+
24,root,20,0,0,0,0,S,0.0,0.0,0:00.07,ksoftir+
27,root,20,0,0,0,0,S,0.0,0.0,0:00.00,cpuhp/2
28,root,-51,0,0,0,0,S,0.0,0.0,0:00.00,idle_in+
29,root,rt,0,0,0,0,S,0.0,0.0,0:02.07,migrati+
30,root,20,0,0,0,0,S,0.0,0.0,0:00.09,ksoftir+
32,root,0,-20,0,0,0,I,0.0,0.0,0:00.32,kworker+
33,root,20,0,0,0,0,S,0.0,0.0,0:00.00,cpuhp/3
34,root,-51,0,0,0,0,S,0.0,0.0,0:00.00,idle_in+
35,root,rt,0,0,0,0,S,0.0,0.0,0:02.05,migrati+
36,root,20,0,0,0,0,S,0.0,0.0,0:00.08,ksoftir+
39,root,20,0,0,0,0,S,0.0,0.0,0:00.00,cpuhp/4
40,root,-51,0,0,0,0,S,0.0,0.0,0:00.00,idle_in+
